MemTotal:        8175744 kB
MemFree:         1588332 kB
MemAvailable:    7470088 kB
Buffers:          115968 kB
Cached:          2605224 kB
SwapCached:            0 kB
Active:          1448668 kB
Inactive:        1595684 kB
Active(anon):     324980 kB
Inactive(anon):    16912 kB
Active(file):    1123688 kB
Inactive(file):  1578772 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               256 kB
Writeback:             0 kB
AnonPages:        323228 kB
Mapped:            70132 kB
Shmem:             18704 kB
Slab:            3454796 kB
SReclaimable:    3432700 kB
SUnreclaim:        22096 kB
KernelStack:        3392 kB
PageTables:        16644 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4087872 kB
Committed_AS:    1224804 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      153744 kB
VmallocChunk:   34359581176 kB
HardwareCorrupted:     0 kB
AnonHugePages:    229376 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       55284 kB
DirectMap2M:     3090432 kB
DirectMap1G:     5242880 kB
